text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural
"""I forgot my friend's birthday. What kind of terrible person forgets something so basic? They probably think I don't care about them at all.""","shame, self-criticism","personalization, mind reading",friendship,Memory lapse interpreted as character flaw,Implement reminder systems while practicing self-forgiveness,Friendship maintenance challenge,Connection preservation motivation,Negatively biased self-perception,Forgetfulness pattern,Social expectation influence,Hyperfocus on perceived failure,Friendship neglect memory,Diminished reliability self-trust,Similar past memory lapses,Overcompensating social decisions,Difficulty maintaining friendship balance,Bad friend identity,Forgotten occasion situation,Social reciprocity expected
"""I was passed over for the promotion again. Management must see how incompetent I am compared to my colleagues. I don't belong in this company.""","shame, self-criticism","personalization, labeling",career,Career setback interpreted as inherent deficiency,Seek specific feedback while developing skill improvement plan,Career development challenge,Professional validation motivation,Failure-focused work perception,Work disengagement tendency,Workplace comparison influence,Hyperfocus on perceived inadequacy,Career setback memory,Diminished professional self-trust,Similar past promotion disappointments,Avoidant career decisions,Difficulty maintaining professional perspective,Inadequate professional identity,Promotion denial situation,Career progression valued
"""My partner cooked dinner after I had a long day. Instead of being grateful, I snapped at them over nothing. I'm becoming just like my abusive parent.""","shame, self-criticism","emotional reasoning, overgeneralization",relationship,Stress reaction exaggerated to generational pattern,Practice specific repair behaviors while developing stress management,Relationship regulation challenge,Self-improvement motivation,Negatively biased self-perception,Reactive communication pattern,Family history influence,Hyperfocus on negative interaction,Transgression memory consolidation,Diminished emotional control trust,Similar past reactive moments,Withdrawn relationship decisions,Difficulty maintaining relationship perspective,Abuser identity fear,Stress reaction situation,Emotional regulation valued
"""I failed my driving test for the third time. At this rate I'll never get licensed. Most teenagers pass on the first try - I'm clearly defective.""","shame, self-criticism","overgeneralization, labeling",skill development,Skill challenge interpreted as personal defect,Analyze specific skill gaps while normalizing learning curves,Skill acquisition process,Achievement motivation,Failure-dominated perception,Avoidant practice pattern,Peer comparison influence,Hyperfocus on perceived failure,Testing failure memory,Diminished learning capacity trust,Similar past skill challenges,Avoidant learning decisions,Difficulty maintaining learning perspective,Inept learner identity,Testing situation,Early achievement valued
"""I accidentally liked an old photo on my ex's profile while stalking them. They'll think I'm pathetic and obsessed. I should have more self-control.""","shame, self-criticism","mind reading, should statements",digital,Digital behavior interpreted as character flaw,Implement specific digital boundaries while practicing self-compassion,Digital behavior regulation,Self-protection motivation,Negatively biased self-perception,Compulsive checking pattern,Perceived judgment influence,Hyperfocus on digital mishap,Embarrassment memory creation,Diminished digital self-control trust,Similar past digital behaviors,Avoidant social media decisions,Difficulty maintaining digital perspective,Obsessive ex identity,Digital mishap situation,Digital decorum expected
"""I've put off starting my taxes for weeks. Now I'll have to rush and probably make mistakes. Why can't I be responsible like normal adults?""","guilt, procrastination","should statements, labeling",financial,Avoidance pattern with self-criticism,Break task into micro-steps with scheduled work blocks,Tax preparation delay,Avoidance motivation,Overwhelmed task perception,Task avoidance pattern,Adulting expectation influence,Avoidant attention,Past procrastination memory,Diminished self-regulation trust,Similar past tax delays,Last-minute decisions,Difficulty initiating unpleasant tasks,Irresponsible adult identity,Financial task situation,Productivity valued
"""My thesis deadline is in 3 days and I've written nothing. I keep cleaning instead of working. I'll fail and disappoint my advisor after all their support.""","guilt, procrastination","catastrophizing, emotional reasoning",academic,Avoidance exacerbated by outcome anxiety,Implement focused writing sprints with scheduled breaks,Academic progress challenge,Perfectionism meets avoidance,Overwhelmed academic perception,Displacement activity pattern,Academic expectation influence,Distractible attention,Past academic procrastination memory,Diminished academic self-trust,Similar past writing blocks,Avoidant work decisions,Difficulty sustaining academic focus,Failed student identity,Writing requirement situation,Academic achievement valued
"""I promised to help my friend move but slept through my alarm. Now they're struggling alone. I'm so selfish and unreliable.""","guilt, procrastination","labeling, personalization",social,Commitment failure with character condemnation,Develop specific accountability systems while practicing self-forgiveness,Reliability improvement,Social obligation motivation,Negatively biased self-perception,Poor planning pattern,Friendship expectation influence,Avoidant attention,Past letdown memory,Diminished reliability self-trust,Similar past commitment failures,Overcommitting decisions,Difficulty maintaining social balance,Unreliable friend identity,Social obligation situation,Reliability valued
"""The dishes have piled up for days. My roommate keeps sighing when they see the mess. I know I should clean but just can't muster the energy.""","guilt, procrastination","should statements, mind reading",domestic,Task avoidance with perceived judgment,Start with 5-minute cleaning sessions while addressing energy issues,Household task management,Low energy motivation,Overwhelmed chore perception,Task postponement pattern,Co-habitation influence,Avoidant attention,Past chore avoidance memory,Diminished domestic self-trust,Similar past cleaning delays,Avoidant home decisions,Difficulty maintaining domestic routine,Messy person identity,Shared space situation,Cleanliness expected
"""I've avoided calling my aging parents for weeks. They must think I don't care. Every day I tell myself I'll call tomorrow.""","guilt, procrastination","mind reading, emotional reasoning",family,Avoidance compounded by guilt,Schedule specific call times while exploring avoidance reasons,Family connection maintenance,Avoidance meets obligation,Anxiety-dominated perception,Communication delay pattern,Family expectation influence,Avoidant attention,Past communication gaps memory,Diminished familial reliability trust,Similar past call avoidance,Avoidant relationship decisions,Difficulty maintaining family contact,Bad child identity,Family obligation situation,Filial duty expected
"""My inbox has 1,247 unread messages. Important requests are getting buried. I feel paralyzed every time I open it.""","guilt, procrastination","catastrophizing, all-or-nothing thinking",digital,Digital overwhelm leading to avoidance,Implement specific email management system in small batches,Digital organization challenge,Avoidance motivation,Overwhelmed digital perception,Email avoidance pattern,Professional expectation influence,Avoidant attention,Past email backlog memory,Diminished digital management trust,Similar past inbox overwhelm,Avoidant communication decisions,Difficulty maintaining digital organization,Disorganized professional identity,Digital task situation,Responsiveness valued
"""I've delayed getting this toothache checked for months. Now the pain is worse. Why do I sabotage my own health?""","guilt, procrastination","personalization, labeling",health,Health neglect with self-blame,Schedule immediate appointment while exploring healthcare fears,Health maintenance delay,Avoidance motivation,Anxiety-dominated health perception,Medical avoidance pattern,Health expectation influence,Avoidant attention,Past health neglect memory,Diminished self-care trust,Similar past medical delays,Avoidant health decisions,Difficulty maintaining preventive care,Health neglector identity,Medical situation,Health responsibility valued
"""I keep putting off difficult conversations with my partner about our issues. The longer I wait, the harder it gets.""","guilt, procrastination","emotional reasoning, catastrophizing",relationship,Conflict avoidance exacerbating problems,Prepare talking points while scheduling specific discussion time,Relationship communication challenge,Harmony preservation motivation,Threat-focused perception,Conflict postponement pattern,Relationship expectation influence,Avoidant attention,Past communication avoidance memory,Diminished relationship trust,Similar past conflict delays,Avoidant relationship decisions,Difficulty maintaining open communication,Conflict-avoidant partner identity,Relationship issue situation,Direct communication valued
"""I've been meaning to update my resume for months. Job postings come and go while I do nothing. I'm wasting my career potential.""","guilt, procrastination","labeling, emotional reasoning",career,Career stagnation with self-criticism,Work on one resume section daily with accountability check-ins,Career development delay,Avoidance meets ambition,Stuck career perception,Career task avoidance pattern,Professional expectation influence,Avoidant attention,Past career stagnation memory,Diminished professional agency trust,Similar past career delays,Avoidant job search decisions,Difficulty maintaining career momentum,Underachiever identity,Career transition situation,Professional initiative valued
"""The charity fundraiser I committed to organize is in two weeks. I haven't started planning. People are counting on me and I'm letting everyone down.""","guilt, procrastination","personalization, catastrophizing",social,Responsibility avoidance with exaggerated consequences,Delegate tasks while creating immediate action plan,Project management challenge,Avoidance meets obligation,Overwhelmed organizer perception,Task paralysis pattern,Community expectation influence,Avoidant attention,Past commitment failures memory,Diminished organizational trust,Similar past planning delays,Avoidant leadership decisions,Difficulty maintaining project momentum,Unreliable organizer identity,Social responsibility situation,Community contribution valued
"""That critical comment from my coworker keeps replaying in my mind. It was probably just feedback, but it made me feel so small and inadequate.""","sadness, sensitivity","personalization, mental filtering",work,Constructive feedback experienced as personal wound,Practice emotional distancing while seeking clarification,Emotional resilience building,Approval motivation,Threat-focused perception,Rumination pattern,Workplace culture influence,Hyperfocus on criticism,Negative feedback memory,Diminished professional confidence,Similar past sensitivity moments,Avoidant work decisions,Difficulty maintaining perspective,Sensitive professional identity,Critical feedback situation,Professional toughness valued
"""Seeing happy families together always makes me tear up. My childhood was so different. I wish I could just enjoy the moment without these painful comparisons.""","sadness, sensitivity","comparison, emotional reasoning",social,Current experience filtered through past pain,Develop specific gratitude practices while honoring grief,Emotional healing process,Connection motivation,Loss-colored perception,Social comparison pattern,Family ideal influence,Attention to perceived lacks,Childhood lack memory,Diminished present-moment trust,Past family experiences,Withdrawn social decisions,Difficulty enjoying positive moments,Wounded child identity,Family display situation,Happy family narrative
"""The rainy weather has left me feeling heavy and melancholy all week. Normally I can shake off moods, but this feels like it's seeping into my bones.""","sadness, sensitivity","emotional reasoning, magnification",environmental,Weather impacting mood disproportionately,Implement specific mood-lifting activities regardless of weather,Emotional pattern awareness,Wellbeing motivation,Weather-dominated perception,Weather-mood association,Seasonal influence,Attention to gloomy elements,Past seasonal sadness memory,Diminished mood regulation trust,Similar past weather sensitivities,Weather-dependent decisions,Difficulty maintaining mood stability,Sensitive person identity,Weather pattern situation,Emotional resilience valued
"""I overheard friends making plans without me. They probably find me too needy or boring. Even if they invited me out of pity, I'd feel like a burden.""","sadness, sensitivity","mind reading, personalization",friendship,Social exclusion interpreted as personal rejection,Challenge assumptions while initiating inclusive plans,Social connection challenge,Belonging motivation,Rejection-focused perception,Social withdrawal pattern,Peer group influence,Attention to exclusion cues,Past rejection memory,Diminished social worth trust,Similar past exclusion experiences,Avoidant social decisions,Difficulty maintaining social confidence,Unwanted friend identity,Social exclusion situation,Popularity valued
"""That childhood photo popped up in memories today. I look at that innocent face knowing all the pain that was coming. I wish I could protect that little version of me.""","sadness, sensitivity",emotional reasoning,memory,Nostalgia filtered through present knowledge,Practice self-compassion while honoring resilience,Emotional integration process,Healing motivation,Loss-colored retrospection,Nostalgic rumination pattern,Past self influence,Attention to past pain,Childhood difficulty memory,Diminished self-protection trust,Past difficult experiences,Protective decisions about present,Difficulty integrating past and present,Wounded healer identity,Memory trigger situation,Positive nostalgia expected
"""The news about climate change devastates me. I lie awake imagining the suffering of future generations. Most people seem to carry on normally - why can't I?""","sadness, sensitivity","magnification, comparison",current events,Global concerns impacting personal wellbeing,Balance awareness with specific hopeful actions,Emotional engagement challenge,Meaning motivation,Threat-dominated worldview,News consumption pattern,Societal response influence,Attention to suffering,Global crisis memory,Diminished future trust,Similar past global concerns,Avoidant news decisions,Difficulty maintaining perspective,Sensitive global citizen identity,News exposure situation,Emotional detachment valued
"""My partner's offhand comment about my cooking landed like a punch. They didn't mean it cruelly, but I can't stop thinking about it.""","sadness, sensitivity","personalization, magnification",relationship,Neutral comment interpreted as personal criticism,Practice communication clarification while developing emotional resilience,Relationship sensitivity,Acceptance motivation,Threat-focused perception,Rumination pattern,Partner communication influence,Attention to perceived slights,Past criticism memory,Diminished relationship security trust,Similar past sensitive moments,Withdrawn relationship decisions,Difficulty maintaining perspective,Sensitive partner identity,Casual remark situation,Thick skin valued
"""That character's death in the show affected me deeply. I'm still crying hours later. Others watched the same scene unmoved - what's wrong with me?""","sadness, sensitivity","labeling, comparison",entertainment,Fictional events triggering disproportionate response,Practice emotional regulation techniques while honoring empathy,Emotional response awareness,Connection motivation,Emotionally intense perception,Emotional absorption pattern,Peer reaction influence,Attention to emotional content,Past emotional memory,Diminished emotional control trust,Similar past intense reactions,Avoidant media decisions,Difficulty regulating fictional engagement,Empath identity,Media exposure situation,Emotional control expected
"""Walking past my old school brought back so many lonely memories. I thought I'd moved on, but the sadness feels as fresh as ever.""","sadness, sensitivity",emotional reasoning,memory,Location triggering unresolved emotions,Process specific memories while creating new associations,Emotional healing process,Resolution motivation,Past-dominated present perception,Nostalgic rumination pattern,Physical location influence,Attention to past pain,School difficulty memory,Diminished healing progress trust,Similar past location triggers,Avoidant location decisions,Difficulty integrating past experiences,Wounded former student identity,Location trigger situation,Moving on expected
"""The way that stranger looked at me on the bus - was it pity? Disgust? I can't shake this hollow feeling like there's something fundamentally wrong with me.""","sadness, sensitivity","mind reading, personalization",social,Ambiguous interaction interpreted negatively,Challenge interpretation while practicing self-validation,Social confidence building,Acceptance motivation,Threat-focused perception,Social rumination pattern,Stranger interaction influence,Attention to ambiguous cues,Past negative interaction memory,Diminished self-acceptance trust,Similar past social sensitivities,Avoidant public decisions,Difficulty maintaining social confidence,Flawed self identity,Ambiguous social situation,Social confidence valued
"""My heart races every time I think about my mounting debt. The numbers keep growing and I can't see a way out. I'm going to end up homeless.""","panic, overwhelm","catastrophizing, fortune telling",financial,Financial stress escalated to worst-case scenario,Create specific budget plan while practicing grounding techniques,Financial management challenge,Survival motivation,Threat-dominated financial perception,Avoidant financial pattern,Economic anxiety influence,Hyperfocus on worst outcomes,Financial failure memory,Diminished solution trust,Similar past financial stresses,Avoidant financial decisions,Difficulty maintaining financial perspective,Financial failure identity,Bill situation,Financial stability valued
"""The work emails keep coming - hundreds unread. My chest tightens just opening my inbox. I'll never catch up and will surely get fired.""","panic, overwhelm","magnification, fortune telling",work,Workload interpreted as career threat,Implement specific email management system in prioritized batches,Workload management,Performance motivation,Overwhelmed professional perception,Email avoidance pattern,Workplace expectation influence,Hyperfocus on volume,Past overwhelm memory,Diminished work capacity trust,Similar past workload crises,Avoidant work decisions,Difficulty maintaining work perspective,Inadequate professional identity,Email overload situation,Productivity valued
"""This crowded mall is too much - the lights, noise, people. My breathing is shallow and I can't think straight. I need to get out now before I embarrass myself.""","panic, overwhelm","catastrophizing, emotional reasoning",environment,Sensory overload triggering escape response,Practice specific grounding techniques while planning gradual exposure,Sensory adaptation,Safety motivation,Threat-dominated environmental perception,Avoidant outing pattern,Public behavior influence,Hyperfocus on sensory threats,Past panic memory,Diminished public coping trust,Similar past sensory overloads,Avoidant public decisions,Difficulty maintaining environmental tolerance,Panic-prone identity,Crowded situation,Composure expected
"""My child is late coming home and not answering calls. Visions of accidents flood my mind. I can't breathe thinking about all the terrible possibilities.""","panic, overwhelm","catastrophizing, emotional reasoning",parenting,Normal delay escalated to disaster scenarios,Implement specific worry containment strategies while checking facts,Parenting anxiety challenge,Protection motivation,Threat-dominated parenting perception,Catastrophic thinking pattern,Parenting fear influence,Hyperfocus on danger,Past scare memory,Diminished safety assessment trust,Similar past parenting anxieties,Overprotective decisions,Difficulty maintaining parenting perspective,Anxious parent identity,Child delay situation,Child safety paramount
"""The doctor found a lump and ordered tests. I can't stop imagining cancer treatments, losing my hair, saying goodbye to loved ones. The waiting is unbearable.""","panic, overwhelm","catastrophizing, fortune telling",health,Medical uncertainty escalated to worst outcomes,Practice specific uncertainty tolerance while focusing on facts,Health anxiety period,Survival motivation,Threat-dominated health perception,Health rumination pattern,Medical fear influence,Hyperfocus on worst cases,Past health scare memory,Diminished medical process trust,Similar past health anxieties,Avoidant health decisions,Difficulty maintaining health perspective,Doomed patient identity,Medical uncertainty situation,Health control valued
"""Final exams start tomorrow and I haven't studied enough. My mind is blank with panic. I'm going to fail everything and ruin my future.""","panic, overwhelm","catastrophizing, all-or-nothing thinking",academic,Academic pressure escalated to life consequences,Implement focused study blocks with scheduled worry time,Academic preparation challenge,Achievement motivation,Threat-dominated academic perception,Last-minute cram pattern,Academic pressure influence,Hyperfocus on failure,Past academic panic memory,Diminished academic resilience trust,Similar past exam stresses,Avoidant study decisions,Difficulty maintaining academic perspective,Failing student identity,Exam pressure situation,Academic success valued
"""My presentation is in an hour. My hands won't stop shaking and my notes make no sense. Everyone will see me fall apart and my career will be over.""","panic, overwhelm","fortune telling, magnification",professional,Performance anxiety escalated to career termination,Use specific breathing techniques while focusing on key messages,Performance anxiety challenge,Professional survival motivation,Threat-dominated performance perception,Anticipatory panic pattern,Professional judgment influence,Hyperfocus on failure,Past performance panic memory,Diminished presentation trust,Similar past performance anxieties,Avoidant professional decisions,Difficulty maintaining performance perspective,Incompetent professional identity,Presentation situation,Professional poise valued
"""The thought of flying tomorrow has me paralyzed. I keep imagining the plane crashing. My rational mind knows it's safe but my body won't listen.""","panic, overwhelm","emotional reasoning, catastrophizing",travel,Travel anxiety escalated to disaster certainty,Practice specific exposure techniques while using calming strategies,Travel anxiety management,Safety motivation,Threat-dominated travel perception,Travel avoidance pattern,Travel fear influence,Hyperfocus on danger,Past travel anxiety memory,Diminished travel safety trust,Similar past travel panics,Avoidant travel decisions,Difficulty maintaining travel perspective,Fearful traveler identity,Flight situation,Adventurousness valued
"""My mind won't stop racing with everything I need to do - work, family, bills. It's all too much. I can't breathe thinking about it all collapsing.""","panic, overwhelm","magnification, all-or-nothing thinking",life,Life responsibilities experienced as unsustainable,Implement specific prioritization system with scheduled downtime,Life management challenge,Functioning motivation,Threat-dominated life perception,Overwhelm cycle pattern,Multitasking culture influence,Hyperfocus on demands,Past collapse memory,Diminished coping capacity trust,Similar past overwhelm episodes,Avoidant life decisions,Difficulty maintaining life perspective,Overwhelmed person identity,Responsibility accumulation,Productivity valued
"""The argument with my partner has left me shaking for hours. What if this is the end? I can't imagine life without them. I need reassurance but fear pushing them away.""","panic, overwhelm","catastrophizing, emotional reasoning",relationship,Conflict escalated to relationship termination,Practice specific self-soothing while allowing space for resolution,Relationship conflict challenge,Connection preservation motivation,Threat-dominated relationship perception,Clingy behavior pattern,Relationship instability influence,Hyperfocus on abandonment,Past relationship loss memory,Diminished relationship resilience trust,Similar past relationship panics,Needy relationship decisions,Difficulty maintaining relationship perspective,Abandonment-fearful identity,Relationship conflict situation,Relationship stability valued
"""Friday night again with no plans. Seeing everyone's social media posts about their gatherings makes my chest ache. Why doesn't anyone think to invite me?""","anxiety, loneliness","comparison, mind reading",social,Social media exacerbating isolation feelings,Initiate specific social plans while limiting comparison triggers,Social connection challenge,Belonging motivation,Exclusion-focused perception,Social media checking pattern,Peer activity influence,Attention to social lacks,Past exclusion memory,Diminished social worth trust,Similar past lonely periods,Avoidant social decisions,Difficulty initiating connections,Unwanted person identity,Weekend situation,Social activity valued
"""Moving to this new city has left me unmoored. I don't know how to meet people as an adult. What if I never make real connections here?""","anxiety, loneliness","fortune telling, catastrophizing",transition,Relocation adjustment with social anxiety,Join specific interest groups while practicing self-compassion,Relocation adjustment period,Connection motivation,Threat-dominated social perception,Social avoidance pattern,New environment influence,Attention to isolation,Past relocation difficulty memory,Diminished social adaptability trust,Similar past relocation challenges,Avoidant social decisions,Difficulty establishing new connections,Lonely newcomer identity,New city situation,Community valued
"""My friends all seem closer to each other than to me. In group chats, I often feel like an outsider observing their bond. Maybe they just tolerate me.""","anxiety, loneliness","mind reading, comparison",friendship,Friendship insecurity with perceived hierarchy,Communicate specific needs while nurturing individual connections,Friendship depth challenge,Belonging motivation,Peripheral self-perception,Social comparison pattern,Group dynamic influence,Attention to exclusion cues,Past friendship lack memory,Diminished friendship trust,Similar past group dynamics,Withdrawn social decisions,Difficulty maintaining group belonging,Marginal friend identity,Group interaction situation,Close friendship valued
"""Working from home sounded great initially, but the isolation is getting to me. Days go by with only transactional interactions. I miss casual office connections.""","anxiety, loneliness","mental filtering, magnification",work,Professional isolation impacting wellbeing,Schedule specific social interactions while exploring coworking spaces,Remote work adjustment,Connection motivation,Isolation-focused perception,Homebound pattern,Remote work influence,Attention to social lacks,Past workplace connection memory,Diminished social initiative trust,Similar past isolation periods,Avoidant work decisions,Difficulty maintaining professional connections,Isolated professional identity,Remote work situation,Workplace community expected
"""Since my breakup, socializing feels exhausting yet I dread being alone. When I'm with people, I feel disconnected. When I'm alone, I feel unbearable emptiness.""","anxiety, loneliness","emotional reasoning, all-or-nothing thinking",relationship,Post-breakup social adjustment difficulty,Balance specific social doses with intentional alone time,Post-breakup adjustment period,Connection motivation,Disconnection-focused perception,Social withdrawal pattern,Relationship loss influence,Attention to relational lacks,Past relationship memory,Diminished self-connection trust,Similar post-breakup periods,Avoidant social decisions,Difficulty finding social balance,Unlovable identity,Breakup situation,Romantic partnership valued
"""Family gatherings highlight how different I am from everyone. Our conversations feel superficial. I leave feeling more alone than when I came.""","anxiety, loneliness","comparison, mental filtering",family,Family connection with perceived difference,Identify specific family members for deeper connection,Family relationship challenge,Understanding motivation,Alienation-focused perception,Superficial interaction pattern,Family dynamic influence,Attention to difference,Past family disconnect memory,Diminished family belonging trust,Similar past family gatherings,Avoidant family decisions,Difficulty maintaining family connections,Black sheep identity,Family event situation,Family closeness expected
"""I want to reach out to old friends but anxiety stops me. What if they've moved on? What if my neediness pushes them away further?""","anxiety, loneliness","fortune telling, mind reading",friendship,Reconnection inhibited by anticipated rejection,Send specific low-pressure messages while managing expectations,Friendship reconnection challenge,Connection motivation,Rejection-focused perception,Avoidant pattern,Social expectation influence,Attention to potential rejection,Past friendship loss memory,Diminished reconnection trust,Similar past friendship lapses,Avoidant social decisions,Difficulty initiating reconnection,Burdensome friend identity,Friendship gap situation,Social continuity valued
"""As a single person in my 30s, social events often highlight my status. Couples dominate conversations while I feel increasingly invisible.""","anxiety, loneliness","mental filtering, comparison",social,Relationship status impacting social experience,Cultivate specific single friendships while diversifying social circles,Social identity challenge,Belonging motivation,Marginalization-focused perception,Status awareness pattern,Couple-centric influence,Attention to relationship status,Past exclusion memory,Diminished singlehood trust,Similar past social experiences,Avoidant social decisions,Difficulty maintaining social confidence,Singular identity,Couple-oriented situation,Romantic pairing norm
"""Chronic illness has stolen so much of my social life. Friends don't understand my limitations. I feel trapped between pain and loneliness.""","anxiety, loneliness","magnification, mind reading",health,Health condition impacting social connections,Develop specific disability-adapted social options while educating friends,Health-social balance challenge,Connection motivation,Limitation-focused perception,Social withdrawal pattern,Health disparity influence,Attention to social barriers,Past health isolation memory,Diminished adaptive social trust,Similar past health-social conflicts,Avoidant social decisions,Difficulty maintaining adapted connections,Isolated patient identity,Health limitation situation,Able-bodied social norms
"""Retirement has left me without daily camaraderie. Colleagues I considered friends rarely reach out. Was I just a workplace convenience all along?""","anxiety, loneliness","labeling, mind reading",life transition,Professional identity loss with perceived friendship devaluation,Initiate specific post-work connections while redefining friendship,Retirement adjustment period,Connection motivation,Betrayal-focused perception,Isolative pattern,Workplace transition influence,Attention to contact lacks,Past workplace friendship memory,Diminished post-work friendship trust,Similar past friendship transitions,Avoidant social decisions,Difficulty maintaining post-work connections,Forgotten retiree identity,Retirement situation,Work-centric identity valued
"""I keep delaying starting my business plan. What if my idea isn't good enough? Maybe I should wait until I have more expertise.""","procrastination, doubt","fortune telling, disqualifying positives",career,Self-doubt inhibiting professional initiative,Break plan into micro-tasks with accountability check-ins,Business development delay,Fear of failure motivation,Inadequacy-focused perception,Task postponement pattern,Entrepreneurial expectation influence,Avoidant attention,Past hesitation memory,Diminished entrepreneurial trust,Similar past idea doubts,Avoidant career decisions,Difficulty initiating ventures,Unprepared entrepreneur identity,Business start situation,Hustle culture pressure
"""The grant application deadline looms but I haven't begun. My research probably isn't innovative enough to compete. Why bother trying?""","procrastination, doubt","mental filtering, all-or-nothing thinking",academic,Perceived inadequacy fueling avoidance,Schedule writing sprints while seeking peer feedback,Academic progress challenge,Avoidance motivation,Deficit-focused perception,Application avoidance pattern,Academic competition influence,Attention to perceived flaws,Past rejection memory,Diminished research confidence,Similar past application struggles,Avoidant academic decisions,Difficulty maintaining scholarly perspective,Marginal scholar identity,Funding competition situation,Academic excellence valued
"""I've put off dental cleaning for 18 months. What if they find serious problems? But avoiding it makes my anxiety worse.""","procrastination, doubt","catastrophizing, emotional reasoning",health,Health anxiety creating avoidance cycle,Schedule appointment with supportive friend accompaniment,Healthcare avoidance period,Fear motivation,Threat-dominated perception,Medical postponement pattern,Health expectation influence,Avoidant attention,Past dental anxiety memory,Diminished healthcare trust,Similar past medical delays,Avoidant health decisions,Difficulty maintaining preventive care,Dental-phobic identity,Appointment situation,Health responsibility norm
"""My novel draft sits untouched for months. Who would want to read my writing anyway? Real authors don't struggle like this.""","procrastination, doubt","comparison, labeling",creative,Imposter syndrome stalling creative work,Commit to daily 15-minute writing sessions,Creative block period,Perfectionism motivation,Inadequacy-focused perception,Creative avoidance pattern,Literary standard influence,Attention to perceived shortcomings,Past creative frustration memory,Diminished artistic trust,Similar past creative blocks,Avoidant creative decisions,Difficulty maintaining creative flow,Fake writer identity,Creative work situation,Artistic genius myth
"""I keep postponing difficult conversations with my aging parents about their care. What if I say the wrong thing and upset them?""","procrastination, doubt","mind reading, catastrophizing",family,Anticipated conflict driving avoidance,Prepare talking points with sibling support,Family communication challenge,Harmony preservation motivation,Threat-focused perception,Conversation delay pattern,Family dynamic influence,Avoidant attention,Past difficult talk memory,Diminished caregiving confidence,Similar past family tensions,Avoidant care decisions,Difficulty maintaining family communication,Inadequate child identity,Elder care situation,Family duty expectations
"""The car needs repairs but I delay calling the mechanic. I don't understand cars and fear being taken advantage of.""","procrastination, doubt","personalization, fortune telling",practical,Knowledge gap exacerbating avoidance,Research repair basics and bring knowledgeable friend,Maintenance avoidance period,Vulnerability motivation,Threat-dominated perception,Task postponement pattern,Perceived expertise disparity,Avoidant attention,Past negative service memory,Diminished consumer trust,Similar past repair experiences,Avoidant maintenance decisions,Difficulty addressing practical needs,Gullible consumer identity,Automotive situation,Self-reliance valued
"""I've avoided updating my professional skills despite industry changes. What if I can't learn the new systems at my age?""","procrastination, doubt","overgeneralization, labeling",career,Age-related self-doubt inhibiting growth,Enroll in beginner-friendly course with peer support,Professional development delay,Fear of failure motivation,Deficit-focused perception,Learning avoidance pattern,Tech-savvy expectation influence,Attention to perceived limitations,Past learning difficulty memory,Diminished adaptability trust,Similar past skill update delays,Avoidant career decisions,Difficulty maintaining professional relevance,Outdated worker identity,Technological change situation,Continuous learning expectation
"""My passport expired months ago but I keep postponing renewal. The paperwork seems overwhelming and what if I make mistakes?""","procrastination, doubt","magnification, catastrophizing",administrative,Perceived complexity driving avoidance,Complete one form section daily with checklist,Documentation delay period,Overwhelm motivation,Task difficulty magnification,Procrastination pattern,Bureaucracy frustration influence,Avoidant attention,Past paperwork stress memory,Diminished administrative trust,Similar past documentation delays,Avoidant travel decisions,Difficulty managing official tasks,Disorganized person identity,Government process situation,Self-sufficiency valued
"""I've delayed creating a will despite having dependents. Thinking about mortality terrifies me, but not having one worries me too.""","procrastination, doubt","emotional reasoning, all-or-nothing thinking",life planning,Existential anxiety inhibiting preparation,Schedule meeting with estate attorney and supportive loved one,Life planning avoidance,Mortality anxiety motivation,Threat-dominated perception,Task postponement pattern,Cultural death taboo influence,Avoidant attention,Past mortality anxiety memory,Diminished end-of-life planning trust,Similar past avoidance patterns,Avoidant planning decisions,Difficulty addressing future needs,Avoidant planner identity,Mortality awareness situation,Death discussion taboo
"""The garden project remains half-finished. Maybe I lack the follow-through to complete anything properly. Why start when I'll just abandon it?""","procrastination, doubt","overgeneralization, labeling",personal project,Self-criticism exacerbating task abandonment,Set tiny daily goals and track completion streaks,Project completion challenge,Perfectionism motivation,Failure-focused perception,Unfinished project pattern,DIY culture influence,Attention to perceived flaws,Past project abandonment memory,Diminished completion trust,Similar past unfinished projects,Avoidant creative decisions,Difficulty maintaining project momentum,Quitter identity,Hobby situation,Completion expectation
"""My hands shake uncontrollably during presentations. Everyone must notice and think I'm incompetent. I avoid speaking roles because of this.""","fear, embarrassment","mind reading, magnification",professional,Performance anxiety with social threat focus,Practice with video recording and progressive exposure,Public speaking challenge,Self-protection motivation,Threat-dominated perception,Avoidance pattern,Professional judgment influence,Hyperfocus on physical symptoms,Past embarrassment memory,Diminished presentation trust,Similar past performance anxieties,Avoidant professional decisions,Difficulty maintaining performance perspective,Nervous speaker identity,Public speaking situation,Professional poise valued
